     K08Q11S* C2008 08 27.63741 00 24 24.30 -41 48 58.8          18.3 Vrz4639E12
     K08Q11S  C2008 09 30.58814 04 06 25.34 -01 15 01.8                j~00AgE09
     K08Q11S  C2008 09 30.58962 04 06 27.80 -01 14 13.0                j~00AgE09
     K08Q11S  C2008 09 30.59111 04 06 30.23 -01 13 24.4                j~00AgE09
     K08Q11S 1C2008 10 01.02068 04 19 02.59 +02 46 16.7          14.0  r~0GCb084
     K08Q11S 1C2008 10 01.02104 04 19 03.23 +02 46 29.3          13.9  r~0GCb084
     K08Q11S 1C2008 10 01.02140 04 19 03.87 +02 46 42.1          14.0  r~0GCb084
     K08Q11S 1C2008 10 01.02176 04 19 04.50 +02 46 54.7          13.9  r~0GCb084
     K08Q11S  C2008 10 01.49069 04 33 38.12 +07 30 37.0          14.0 Vrz8044703
     K08Q11S  C2008 10 01.49531 04 33 46.51 +07 33 26.3          14.0 Vrz8044703
     K08Q11S  C2008 10 01.49990 04 33 54.82 +07 36 13.9          14.1 Vrz8044703
     K08Q11S  C2008 10 01.50456 04 34 03.32 +07 39 05.0          14.0 Vrz8044703
     K08Q11S  C2008 10 02.34877 05 02 37.26 +16 17 44.4          14.9  cz8044704
     K08Q11S  C2008 10 02.36108 05 03 01.83 +16 25 17.8          14.9  cz8044704
     K08Q11S  C2008 10 02.37367 05 03 27.06 +16 33 01.1          15.2  cz8044704
     K08Q11S  C2008 10 02.38609 05 03 51.85 +16 40 36.9          15.1  cz8044704
     K08Q11S  C2008 10 02.39843 05 04 16.47 +16 48 09.5          15.2  cz8044704
     K08Q11S  C2008 10 04.04005 06 04 00.90 +31 41 35.7          14.9 Rcz9332B37
     K08Q11S  C2008 10 04.04106 06 04 03.03 +31 42 03.4          14.8 Rcz9332B37
     K08Q11S  C2008 10 04.04119 06 04 03.31 +31 42 07.5          14.9 Rcz9332B37
     K08Q11S  C2008 10 04.04266 06 04 06.49 +31 42 48.4          14.7 Rcz9332B37
     K08Q11S  C2008 10 04.04540 06 04 12.41 +31 44 05.8          14.6 Rcz9332B37
     K08Q11S  C2008 10 04.04752 06 04 17.01 +31 45 05.8          14.8 Rcz9332B37
     K08Q11S  C2008 10 04.05918 06 04 42.65 +31 50 21.8          15.3 Rcz9332J81
     K08Q11S  C2008 10 04.06316 06 04 51.28 +31 52 14.8          15.1 Rcz9332J81
     K08Q11S  C2008 10 04.06468 06 04 54.55 +31 52 56.5          14.9 Rcz9332J81
     K08Q11S  C2008 10 04.12850 06 07 08.50 +32 22 25.1          15.1 Rvz9332204
     K08Q11S  C2008 10 04.12885 06 07 09.23 +32 22 34.4                vz9332204
     K08Q11S  C2008 10 04.12920 06 07 09.99 +32 22 44.1                vz9332204
     K08Q11S  C2008 10 04.12989 06 07 11.48 +32 23 03.2                vz9332204
     K08Q11S  C2008 10 04.13039 06 07 12.52 +32 23 16.7                vz9332204
     K08Q11S  C2008 10 04.96640 06 37 59.51 +37 56 25.0          15.8 Rvz9332J34
     K08Q11S  C2008 10 04.97266 06 38 13.22 +37 58 42.0          16.1 Rvz9332J34
     K08Q11S  C2008 10 04.97926 06 38 27.57 +38 01 05.5          16.1 Rvz9332J34
     K08Q11S 1C2008 10 08.08671 08 15 49.22 +48 49 26.3          16.9  o~0GCb084
     K08Q11S 1C2008 10 08.08781 08 15 50.87 +48 49 33.3          17.1  o~0GCb084
     K08Q11S  C2008 10 08.49337 08 26 03.69 +49 29 53.2          15.8 Vrz9332703
     K08Q11S  C2008 10 08.49773 08 26 09.27 +49 30 18.1          17.0 Vrz9332703
     K08Q11S  C2008 10 08.50218 08 26 15.43 +49 30 43.2          17.0 Vrz9332703
     K08Q11S  C2008 10 08.50649 08 26 21.37 +49 31 07.8          17.0 Vrz9332703
     K08Q11S  C2008 10 08.52341 08 26 44.66 +49 32 43.2          17.1 Vrz9332G96
     K08Q11S  C2008 10 08.52363 08 26 44.98 +49 32 44.3          17.0 Vrz9332G96
     K08Q11S  C2008 10 08.52384 08 26 45.27 +49 32 45.8          17.0 Vrz9332G96
     K08Q11S  C2008 10 08.52406 08 26 45.56 +49 32 46.8          17.1 Vrz9332G96
     K08Q11S  C2008 10 25.44492 11 03 22.12 +51 07 45.0          19.8 Vo~00QdH55
     K08Q11S  C2008 10 25.44803 11 03 22.71 +51 07 43.8          19.7 Vo~00QdH55
     K08Q11S  C2008 10 25.45102 11 03 23.23 +51 07 42.9          20.0 Vo~00QdH55
     K08Q11S  C2008 10 25.45483 11 03 23.92 +51 07 41.6          19.5 Vo~00QdH55
     K08Q11S  C2008 10 25.45953 11 03 24.79 +51 07 39.7          19.7 Vo~00QdH55
     K08Q11S  C2008 11 27.44645 11 56 05.10 +46 58 39.6          20.4 Vo~01yPH55
     K08Q11S  C2008 11 27.44766 11 56 05.14 +46 58 39.3          20.3 Vo~01yPH55
     K08Q11S  C2008 11 27.45131 11 56 05.27 +46 58 38.6          20.4 Vo~01yPH55
     K08Q11S  C2009 02 03.30150 09 58 53.76 +45 40 09.9          20.8  c~03Jf704
     K08Q11S  C2009 02 03.31360 09 58 51.26 +45 40 00.3          20.6  c~03Jf704
     K08Q11S  C2009 02 03.32570 09 58 49.02 +45 39 50.1          20.4  c~03Jf704
     K08Q11S  C2009 03 20.08931 09 03 11.09 +31 18 07.6          22.1 Vo~05YNH55
     K08Q11S  C2009 03 20.10538 09 03 11.21 +31 17 50.2          22.2 Vo~05YNH55
     K08Q11S  C2009 03 20.12118 09 03 11.32 +31 17 33.2          22.2 Vo~05YNH55
     K08Q11S |C2013 08 27.06187 18 47 03.06 -49 08 11.4          20.9 Vu~0tll807
     K08Q11S |C2013 08 27.06921 18 47 02.45 -49 08 04.6          20.9 Vu~0tll807
     K08Q11S |C2013 08 27.07583 18 47 01.89 -49 07 58.5          20.9 Vu~0tll807
     K08Q11S KC2013 11 26.08031 21 02 58.87 +01 02 03.3          20.6 Ro~0xQt291
     K08Q11S KC2013 11 26.08133 21 02 59.05 +01 02 07.4          20.0 Ro~0xQt291
     K08Q11S KC2013 11 26.08234 21 02 59.22 +01 02 11.2          20.1 Ro~0xQt291
     K08Q11S KC2013 11 27.13930 21 06 06.28 +02 08 02.6          19.9 Ro~0xQt291
     K08Q11S KC2013 11 27.14029 21 06 06.45 +02 08 06.4          20.1 Ro~0xQt291
     K08Q11S KC2013 11 27.14129 21 06 06.63 +02 08 09.7                o~0xQt291
     K08Q11S KC2013 12 07.17928 21 38 10.77 +13 15 31.8          19.1 Ro~0y5j291
     K08Q11S KC2013 12 07.18066 21 38 11.03 +13 15 37.7          18.9 Ro~0y5j291
     K08Q11S KC2013 12 07.18205 21 38 11.31 +13 15 43.1          18.8 Ro~0y5j291
     K08Q11S KC2013 12 24.15054 22 49 28.56 +33 20 38.9          19.1 Ro~0yMb291
     K08Q11S KC2013 12 24.15192 22 49 28.98 +33 20 44.5          19.6 Ro~0yMb291
     K08Q11S KC2013 12 24.15331 22 49 29.40 +33 20 50.3          19.7 Ro~0yMb291
     K08Q11S  S2013 12 30.43699 23 25 07.04 +40 10 08.6          18   RL~0zDBC51
     K08Q11S  s2013 12 30.43699 1 + 5051.6237 +  294.4758 + 4663.8056   ~0zDBC51
     K08Q11S  S2013 12 30.56879 23 25 56.07 +40 18 10.5                L~0zDBC51
     K08Q11S  s2013 12 30.56879 1 + 5039.9527 +  302.3660 + 4675.8454   ~0zDBC51
     K08Q11S  S2013 12 30.70058 23 26 45.29 +40 26 11.5                L~0zDBC51
     K08Q11S  s2013 12 30.70058 1 + 5028.2082 +  310.1910 + 4687.8956   ~0zDBC51
     K08Q11S  S2013 12 30.76642 23 27 09.90 +40 30 11.1                L~0zDBC51
     K08Q11S  s2013 12 30.76642 1 + 5049.8651 +  323.3331 + 4663.7265   ~0zDBC51
     K08Q11S  S2013 12 30.83238 23 27 34.69 +40 34 09.8                L~0zDBC51
     K08Q11S  s2013 12 30.83238 1 + 5016.4036 +  317.9548 + 4699.9409   ~0zDBC51
     K08Q11S  S2013 12 30.89821 23 27 59.44 +40 38 09.0                L~0zDBC51
     K08Q11S  s2013 12 30.89821 1 + 5038.0558 +  331.1246 + 4675.8709   ~0zDBC51
     K08Q11S  S2013 12 30.96417 23 28 24.16 +40 42 07.4                L~0zDBC51
     K08Q11S  s2013 12 30.96417 1 + 5004.5050 +  325.6456 + 4712.0187   ~0zDBC51
     K08Q11S  S2013 12 31.03001 23 28 49.17 +40 46 05.4                L~0zDBC51
     K08Q11S  s2013 12 31.03001 1 + 5026.1717 +  338.8495 + 4688.0260   ~0zDBC51
     K08Q11S  S2013 12 31.22764 23 30 03.96 +40 57 58.4                L~0zDBC51
     K08Q11S  s2013 12 31.22764 1 + 5035.7330 +  359.7799 + 4676.1849   ~0zDBC51
     K08Q11S  S2013 12 31.22776 23 30 03.93 +40 57 58.5                L~0zDBC51
     K08Q11S  s2013 12 31.22776 1 + 4980.4689 +  340.8206 + 4736.2209   ~0zDBC51
     K08Q11S  S2013 12 31.29360 23 30 29.04 +41 01 54.0                L~0zDBC51
     K08Q11S  s2013 12 31.29360 1 + 5002.1658 +  354.0932 + 4712.3838   ~0zDBC51
     K08Q11S  S2013 12 31.55719 23 32 09.66 +41 17 37.1                L~0zDBC51
     K08Q11S  s2013 12 31.55719 1 + 4977.8553 +  369.0631 + 4736.7882   ~0zDBC51
     K08Q11S  S2013 12 31.68898 23 33 00.26 +41 25 24.6                L~0zDBC51
     K08Q11S  s2013 12 31.68898 1 + 4965.6073 +  376.4517 + 4748.9841   ~0zDBC51
     K08Q11S KC2014 01 02.21244 23 42 57.17 +42 53 29.0                o~0yjY291
     K08Q11S KC2014 01 02.21334 23 42 57.53 +42 53 32.4                o~0yjY291
     K08Q11S KC2014 03 05.11776406 28 04.34 +42 55 57.8                u~11U7H21
     K08Q11S KC2014 03 05.12007906 28 04.85 +42 55 54.7          21.5 Vu~11U7H21
     K08Q11S KC2014 03 05.12866906 28 06.50 +42 55 43.1          22.1 Vu~11U7H21
